event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KEN5606,2017/07/26,"2017","1",Political violence,Riots,Mob violence,Rioters (Kenya),,"5",Rioters (Kenya),,"5","55",,"404",Eastern Africa,Kenya,Marsabit,Saku,Marsabit Central,Marsabit,2.333,37.983,"1",Daily Nation (Kenya),National,Supporters of the two candidates in Marsabit threw stones at each other in Marsabit where President Kenyatta was expected to rally on wedsnesday.,"0",,"1561469151"
SOM23279,2017/07/26,"2017","1",Political violence,Battles,Armed clash,AMISOM: African Union Mission in Somalia (2007-2022) (Kenya),,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Lower Juba,Badhaadhe,,Hosingow,-0.1734,41.2695,"1",Undisclosed Source,Local partner-Other,"Early AM, Hosingow, Lower Jubba: al Shabaab attacked a Kenya Defence Force (KDF) base. The assailants were repelled. Causalities not known.","0",,"1670283465"
SOM23281,2017/07/26,"2017","1",Political violence,Explosions/Remote violence,Air/drone strike,AMISOM: African Union Mission in Somalia (2007-2022) (Kenya),,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Lower Juba,Badhaadhe,,Kolbiyow,-1.1369,41.2174,"2",Undisclosed Source,Local partner-Other,"Early AM, Lagta, Lower Jubba: KDF fighter jets attacked an al Shabaab camp at Lagta, near Kolbiyow. The resulting causality figures not known.","0",,"1670283465"
SOM23265,2017/07/24,"2017","2",Political violence,Battles,Armed clash,Military Forces of Somalia (2017-2022) Jubaland Security Force,,"1",Al Shabaab,,"2","12",,"706",Eastern Africa,Somalia,Gedo,Belet Xaawo,,Belet Xaawo,3.7807,41.8943,"1",Undisclosed Source,Local partner-Other,"Early AM, IVO Belet Xaawo, Gedo: four bodies of suspected al Shabaab fighters were discovered by residents. Jubaland authorities reported the four were killed during a 'recent' skirmish, date not provided. The Shabelle Media Network claims the four were executed by Jubaland forces.","4",,"1653348311"
KEN5602,2017/07/22,"2017","1",Political violence,Riots,Mob violence,Rioters (Kenya),Jubilee Party,"5",Rioters (Kenya),EFP: Economic Freedom Party,"5","55",,"404",Eastern Africa,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,"1",Daily Nation (Kenya),National,"Jubilee Party campaigns in Mandera turned chaotic after two rival camps clashed at Moi stadium ahead of a rally led by President Uhuru Kenyatta. The two camps, Jubilee supporters and those from the Economic Freedom Party (EFP), hurled stones at each other.","0",,"1670285723"
KEN5600,2017/07/21,"2017","1",Political violence,Violence against civilians,Attack,Unidentified Communal Militia (Kenya),,"4",Civilians (Kenya),,"7","47",Civilian targeting,"404",Eastern Africa,Kenya,Samburu,Samburu North,El Barta,Baragoi,1.7833,36.7833,"1",Daily Nation (Kenya),National,"Three people were shot dead and two others injured during an attack at Bendera village in Baragoi town, Samburu County. An unknown number of cattle were also stolen and driven towards Suguta valley","3",,"1618560926"
KEN5598,2017/07/20,"2017","1",Political violence,Violence against civilians,Attack,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Lamu,Lamu East,Basuba,Mararani,-1.7027,41.3019,"1",Xinhua,International,Al Shabaab kill two civilians while attacking civilians in the Mararani area.,"2",,"1618560926"
SOM23234,2017/07/20,"2017","1",Political violence,Battles,Armed clash,AMISOM: African Union Mission in Somalia (2007-2022) (Kenya),Military Forces of Somalia (2017-2022) Jubaland Security Force,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Lower Juba,Afmadow,,Dhobley,0.4063,41.0124,"1","Undisclosed Source; Partner Database",Local partner-Other,"Early AM, IVO Dhobley, Lower Jubba: Kenya Defence Force (KDF) elements and Jubaland Security Forces (JSF) soldiers killed an al Shabaab leader allegedly behind some of the attacks recently recorded along the Kenyan border. The leader, Hassan Issaq Ibrahim 'Beila', is the alleged ring leader of the al Shabaab cell responsible for several improvised explosive device (IED) attacks against Kenyan forces between Liboi and Dhobley. Two body guards were also killed.","3",,"1670283465"
KEN5599,2017/07/20,"2017","1",Political violence,Battles,Armed clash,Police Forces of Kenya (2013-2022),,"1",Unidentified Communal Militia (Kenya),,"4","14",,"404",Eastern Africa,Kenya,Samburu,Samburu North,El Barta,Baragoi,1.7833,36.7833,"1",Daily Nation (Kenya),National,"After a violent cattle raid, polie clash with the raiders and recapture the stolen livestock","0",,"1679360213"
KEN5596,2017/07/17,"2017","1",Political violence,Battles,Armed clash,Police Forces of Kenya (2013-) General Service Unit,,"1",Al Shabaab,,"2","12",,"404",Eastern Africa,Kenya,Lamu,Lamu West,Hindi,Mokowe,-2.2343,40.8466,"1",Capital FM,National,Police repulse an attack by Al Shabaab on Mokowe GSU camp.,"0",,"1618560926"
